Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Paneer Kali Mirch","Paneer Kali Mirch",,45,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes
"Veg Fried Rice","Veg Fried Rice",,46,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes
"Veg Schezwan Fried Rice","Veg Schezwan Fried Rice",,47,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes
"Triple Fried Rice","Triple Fried Rice",,48,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes
"Veg Chilli Garlic Fried Rice","Veg Chilli Garlic Fried Rice",,49,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes
"Veg Noodles","Veg Noodles",,50,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Veg Hakka Noodles","Veg Hakka Noodles",,51,,,,,"Chinese Veg Starter",,229,veg,services,5,F,,,0,,,1,0,Yes
"Veg Schezwan Noodles","Veg Schezwan Noodles",,52,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes
"Veg Singapori Noodles","Veg Singapori Noodles",,53,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes
"Veg Manchuriyan Dry","Veg Manchuriyan Dry",,54,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes
"Veg Manchuriyan Gravy","Veg Manchuriyan Gravy",,55,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Manchuriyan Dry","Paneer Manchuriyan Dry",,56,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Manchuriyan Gravy","Paneer Manchuriyan Gravy",,57,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Noodles","Paneer Noodles",,58,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes
"Chilly Garlic Noodles","Chilly Garlic Noodles",,59,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes
"Chana Roast","Chana Roast",,60,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes
"Paneer China Town","Paneer China Town",,61,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes
"Paneer Mushroom Golden Fry","Paneer Mushroom Golden Fry",,62,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes
"Chicken Bagheli","Chicken Bagheli",,63,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,299,,0,Family,449,,0
"Chicken Handi","Chicken Handi",,66,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,299,,0,Family,449,,0
"Chicken Curry","Chicken Curry",,69,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,299,,0,Family,449,,0
"Chicken Do Pyaza","Chicken Do Pyaza",,72,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,299,,0,Family,449,,0
"Butter Chicken","Butter Chicken",,75,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Kadhai Chicken","Kadhai Chicken",,78,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Chicken Masala","Chicken Masala",,81,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Chicken Tikka Masala","Chicken Tikka Masala",,84,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Chicken Methi Malai","Chicken Methi Malai",,87,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Rahra Chicken","Rahra Chicken",,90,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Bhuna Chicken","Bhuna Chicken",,93,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Mutton Bagheli","Mutton Bagheli",,96,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,369,,0,Family,569,,0
"Mutton Masala","Mutton Masala",,99,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Mutton Handi","Mutton Handi",,102,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Dhawa Mutton","Dhawa Mutton",,105,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Rahra Mutton","Rahra Mutton",,108,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Mutton Kadhai","Mutton Kadhai",,111,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Bhuna Mutton","Bhuna Mutton",,114,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,379,,0,Family,579,,0
"Fish Curry","Fish Curry",,117,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,299,,0,Family,449,,0
"Fish Masala","Fish Masala",,120,,,,,"Main Course Non Veg",,0,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,Customisation,Single,329,,0,Family,499,,0
"Egg Curry","Egg Curry",,123,,,,,"Main Course Non Veg",,199,egg,services,5,F,,,0,,,1,0,Yes
"Egg Masala","Egg Masala",,124,,,,,"Main Course Non Veg",,229,egg,services,5,F,,,0,,,1,0,Yes
"Plain Curd","Plain Curd",,125,,,,,Raita,,89,veg,services,5,F,,,0,,,1,0,Yes
"Mix Veg Raita","Mix Veg Raita",,126,,,,,Raita,,99,veg,services,5,F,,,0,,,1,0,Yes
"Boondi Raita","Boondi Raita",,127,,,,,Raita,,99,veg,services,5,F,,,0,,,1,0,Yes
"Fruit Raita","Fruit Raita",,128,,,,,Raita,,119,veg,services,5,F,,,0,,,1,0,Yes
"Pineapple Raita","Pineapple Raita",,129,,,,,Raita,,119,veg,services,5,F,,,0,,,1,0,Yes
"Papad Roasted","Papad Roasted",,130,,,,,Accompaniments,,29,veg,services,5,F,,,0,,,1,0,Yes
"Papad Fried","Papad Fried",,131,,,,,Accompaniments,,29,veg,services,5,F,,,0,,,1,0,Yes
"Masala Papad","Masala Papad",,132,,,,,Accompaniments,,69,veg,services,5,F,,,0,,,1,0,Yes
"Masala Peanut","Masala Peanut",,133,,,,,Accompaniments,,119,veg,services,5,F,,,0,,,1,0,Yes
"Onion Salad","Onion Salad",,134,,,,,Accompaniments,,89,veg,services,5,F,,,0,,,1,0,Yes
"Green Salad","Green Salad",,135,,,,,Accompaniments,,99,veg,services,5,F,,,0,,,1,0,Yes
"Russian Salad","Russian Salad",,136,,,,,Accompaniments,,119,veg,services,5,F,,,0,,,1,0,Yes
"Kimchi Salad","Kimchi Salad",,137,,,,,Accompaniments,,119,veg,services,5,F,,,0,,,1,0,Yes
"Kuchumber Salad","Kuchumber Salad",,138,,,,,Accompaniments,,99,veg,services,5,F,,,0,,,1,0,Yes
"Sprout Salad","Sprout Salad",,139,,,,,Accompaniments,,119,veg,services,5,F,,,0,,,1,0,Yes
"Choice Of Ice Cream (2 Scoops)","Choice Of Ice Cream (2 Scoops)",,140,,,,,Desserts,,95,veg,services,5,F,,,0,,,1,0,Yes
"Matka Kulfi","Matka Kulfi",,141,,,,,Desserts,,109,veg,services,5,F,,,0,,,1,0,Yes
