Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
THE CITY VIEW,,,,,,,,
,,,,,,,,
BEVERAGE ,,,,,,MOCKTAIL & SHAKES,,
,,,,,,,,
,BREAD'S,,,,,,,
,,,,,,,,
1,TANDOORI ROTI,,30,,9,AJWAINI/ PUDINA PARATHA,,55
2,TANDORI ROTI BUTTER,,35,,10,ALOO PARATHA,,89
3,HARI MIRCH/ LAL MIRCH KI ROTI,,35,,11,ALOO-PYAAZ PARATHA,,110
4,MISSI ROTI,,35,,12,GOBHI PARATHA,,110
5,NAAN,,40,,13,PANEER PARATHA,,110
6,BUTTER NAAN ,,50,,14,STUFFED KULCHA,,110
7,GARLIC NAAN ,,60,,15,KASHMIRI NAAN,,80
8,LACCHAA PARATHA ,,60,,16,BREAD BASKET,,210
,,,,,,,,
,KHUSHBU-E-BASMATI,,,,,,,
,,,,,,,,
1,PLAIN RICE,,139,,7,VEG BIRIYANI,,299
2,JEERA RICE,,159,,8,EGG BIRIYANI,,299
3,PEAS PULAO,,169,,9,CHICKEN BIRIYANI,,359
4,VEG PULAO,,169,,10,MUTTON BIRIYANI,,449
5,CURD RICE,,169,,11,FISH TIKKA BIRIYANI,,399
6,KASHMIRI PULAO,,189,,12,CHICKEN TIKKA BIRIYANI,,399
,,,,,,,,
,RAITA,,,,,,,
,,,,,,,,
1,PLAIN CURD,,89,,,,,
2,MIX VEG RAITA,,99,,,,,
3,BOONDI RAITA,,99,,,,,
4,FRUIT RAITA,,119,,,,,
5,PINEAPPLE RAITA,,119,,,,,
,,,,,,,,
,ACCOMPANIMENTS,,,,,,,
,,,,,,,,
1,PAPAD ROSTED/FRY,,29,,,,,
2,MASALA PAPAD,,69,,,,,
3,MASALA PEANUT ,,119,,,,,
4,ONION SALAD,,89,,,,,
5,GREEN SALAD,,99,,,,,
6,RUSSIAN SALAD,,119,,,,,
7,KIMCHI SALAD,,119,,,,,
8,KUCHUMBER SALAD,,99,,,,,
9,SPROUT SALAD,,119,,,,,
,,,,,,,,
,DESSERTS,,,,,,,
,,,,,,,,
1,CHOICE OF ICE CREAM (2 SCOOPS),,95,,,,,
2,MATKA KULFI,,109,,,,,
3,GULAB JAMUN,,95,,,,,
4,RASMALAI,,109,,,,,
5,SHAHI THANDI KHEER,,109,,,,,
6,BROWNIE WITH ICE CREAM,,119,,,,,
7,GAJAR HALWA ( SEASONAL),,119,,,,,
