Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Chicken Manchurian Gravy","Chicken Manchurian Gravy",,63,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Fried Rice","Veg Fried Rice",,64,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Noodles","Egg Noodles",,65,,,,,"Chinese Non Veg Starter",,269,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Schezwan Fried Rice","Veg Schezwan Fried Rice",,66,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chicken Hakka Noodles","Chicken Hakka Noodles",,67,,,,,"Chinese Non Veg Starter",,299,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Triple Fried Rice","Triple Fried Rice",,68,,,,,"Chinese Veg Starter",,289,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Chilli Garlic Chicken Noodles","Chilli Garlic Chicken Noodles",,69,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Chilli Garlic Fried Rice","Veg Chilli Garlic Fried Rice",,70,,,,,"Chinese Veg Starter",,269,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Blackpepper Chicken","Blackpepper Chicken",,71,,,,,"Chinese Non Veg Starter",,319,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Noodles","Veg Noodles",,72,,,,,"Chinese Veg Starter",,219,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Lemon Fish","Lemon Fish",,73,,,,,"Chinese Non Veg Starter",,339,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Hakka Noodles","Veg Hakka Noodles",,74,,,,,"Chinese Veg Starter",,229,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fish Garlic Sauce","Fish Garlic Sauce",,75,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Fish Lemon Coriander","Fish Lemon Coriander",,76,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Schezwan Noodles","Veg Schezwan Noodles",,77,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Egg Kali Mirch","Egg Kali Mirch",,78,,,,,"Chinese Non Veg Starter",,249,egg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Singapori Noodles","Veg Singapori Noodles",,79,,,,,"Chinese Veg Starter",,259,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Ginger Chicken","Ginger Chicken",,80,,,,,"Chinese Non Veg Starter",,359,non-veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Manchuriyan Dry","Veg Manchuriyan Dry",,81,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
"Veg Manchuriyan Gravy","Veg Manchuriyan Gravy",,82,,,,,"Chinese Veg Starter",,249,veg,services,5,F,,,0,,,1,0,Yes,,,,,,,,,0,,,,0
